age,education,balance,housing,loan,duration,campaign,pdays,poutcome,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_divorced,marital_married,marital_single,subscribed
58.0,3,2143,1,0,261.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
44.0,2,29,1,0,151.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
33.0,2,2,1,1,76.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
35.0,3,231,1,0,139.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
28.0,3,447,1,1,217.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
42.0,3,2,1,0,380.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58.0,1,121,1,0,50.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
43.0,2,593,1,0,55.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
41.0,2,270,1,0,222.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29.0,2,390,1,0,137.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53.0,2,6,1,0,517.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
57.0,2,162,1,0,174.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
51.0,1,229,1,0,353.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
57.0,1,52,1,0,38.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
60.0,1,60,1,0,219.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
33.0,2,0,1,0,54.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
28.0,2,723,1,1,262.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
56.0,3,779,1,0,164.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32.0,1,23,1,1,160.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
25.0,2,50,1,0,342.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
40.0,1,0,1,1,181.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
44.0,2,-372,1,0,172.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39.0,3,255,1,0,296.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
52.0,2,113,1,1,127.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
46.0,2,-246,1,0,255.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
36.0,2,265,1,1,348.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
57.0,2,839,0,1,225.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
49.0,3,378,1,0,230.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
60.0,2,39,1,1,208.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59.0,2,0,1,0,226.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
51.0,3,10635,1,0,336.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
57.0,2,63,1,0,242.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
25.0,2,-7,1,0,365.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
53.0,2,-3,0,0,258.341352164853,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
36.0,2,506,1,0,577.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37.0,2,0,1,0,137.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44.0,2,2586,1,0,160.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
